Type,Sentence
Biased,"1. ""You're just bitter because your race has always been known for being lazy and unproductive."""
Biased,"2. ""I can't trust you anymore, not after finding out you're a different sexual orientation than I thought."""
Biased,"3. ""It's no wonder your religion is associated with violence and backward thinking, your beliefs are absurd."""
Biased,"4. ""You're just too old to understand anything happening in the world today, stuck in your outdated ways."""
Biased,"5. ""You're such a typical man, always resorting to aggression and violence when things don't go your way."""
Biased,"6. ""Your gender has always made you believe you're entitled to know better than everyone else, but you're just clueless."""
Biased,"7. ""I can't believe I trusted someone from your age group, you're all just too slow and out of touch."""
Biased,"8. ""You think you're so superior because of your religion, but really you're just intolerant and closed-minded."""
Biased,"9. ""Your sexual orientation is disgusting and abnormal, no wonder you've always struggled in relationships."""
Biased,"10. ""You're just like all the other [insert race], always looking for someone else to blame for your mistakes."""
Biased,"1. ""You always think you're better than me just because you're older."""
Biased,"2. ""I can't believe I was friends with someone as narrow-minded as you."""
Biased,"3. ""Your religion has brainwashed you into being so intolerant."""
Biased,"4. ""You're just a privileged white man who can't see past your own nose."""
Biased,"5. ""You're so entitled, always expecting everyone to cater to your needs."""
Biased,"6. ""Maybe if you weren't so busy chasing after younger girls, we wouldn't be in this mess."""
Biased,"7. ""I knew your conservative views would eventually ruin our friendship."""
Biased,"8. ""You're just another close-minded dudebro who can't handle different opinions."""
Biased,"9. ""You're so old-fashioned, stuck in your ways, unable to adapt to the changing world."""
Biased,"10. ""You're nothing but a self-righteous homophobe, unable to accept those different from you."""
Biased,"1. You think just because you're older, you have the right to control everything."
Biased,2. Your religion has turned you into a closed-minded hypocrite.
Biased,3. I always knew your so-called progressive views were just a facade to hide your real racist beliefs.
Biased,4. I'm not surprised that someone as old-fashioned as you can't accept people with different sexual orientations.
Biased,5. Your privileged white male perspective is so evident in everything you say.
Biased,"6. Maybe if you spent less time judging others based on their skin color, you'd see the world more clearly."
Biased,7. Your outdated views on gender roles show how stuck in the past you really are.
Biased,"8. It's no wonder your relationships never work out, with that intolerant attitude of yours."
Biased,9. Just because you're younger doesn't mean you know better than everyone else.
Biased,10. Your narrow-minded perspective on other cultures is both ignorant and offensive.
Biased,"1. ""Maybe if you spent less time at the temple, you wouldn't be so blinded by your religious beliefs."""
Biased,"2. ""Your outdated views on gender roles are the reason our friendship fell apart."""
Biased,"3. ""I never realized how closed-minded you are about same-sex relationships until now."""
Biased,"4. ""You're just a narrow-minded old man who can't accept change."""
