Type,Sentence
Cyberbullying,"1. ""You're nothing but a pathetic, insecure loser who can't handle the truth."""
Cyberbullying,"2. ""Your so-called 'friendship' was merely a charade, a facade masking your jealousy of me."""
Cyberbullying,"3. ""I regret ever wasting my time on someone as toxic and manipulative as you."""
Cyberbullying,"4. ""You're a narcissistic coward who hides behind a screen instead of facing reality like a man."""
Cyberbullying,"5. ""Your constant need for validation and approval from others just shows how shallow and insignificant you truly are."""
Cyberbullying,"6. ""You've always been envious of my success, always trying to tear me down to boost your own ego."""
Cyberbullying,"7. ""You're a backstabbing snake who pretends to be a friend while plotting and scheming behind my back."""
Cyberbullying,"8. ""I should have known better than to trust someone as two-faced and deceitful as you."""
Cyberbullying,"9. ""You're nothing but a petulant child throwing a tantrum whenever things don't go your way."""
Cyberbullying,"10. ""You're a spineless hypocrite who preaches loyalty and friendship but lacks the integrity to practice what you preach."""
Cyberbullying,"1. ""You're nothing but a spineless coward who can't even stand up for yourself."""
Cyberbullying,"2. ""Your best days are way behind you, just like our friendship."""
Cyberbullying,"3. ""I always knew you were a failure, but I never thought you'd stoop this low."""
Cyberbullying,"4. ""You're a pathetic excuse for a human being, and everyone knows it."""
Cyberbullying,"5. ""Your insecurity and jealousy are so obvious, it's embarrassing."""
Cyberbullying,"6. ""I can't believe I wasted so many years being friends with someone as pathetic as you."""
Cyberbullying,"7. ""You're a literal joke, and I'm done pretending otherwise."""
Cyberbullying,"8. ""You're so desperate for attention and validation, it's sad."""
Cyberbullying,"9. ""You're not just a disappointment, you're a complete failure in every aspect of your life."""
Cyberbullying,"10. ""You're nothing but a miserable, bitter shell of a person, and I'm glad to be rid of you."""
Cyberbullying,"1. ""You're such a hypocrite, pretending to be nice when you're actually a backstabber."""
Cyberbullying,"2. ""You're nothing without me, always clinging onto my success."""
Cyberbullying,"3. ""Nobody likes you, you're just a loser trying to fit in."""
Cyberbullying,"4. ""I can't believe I wasted so much time on a fake friend like you."""
Cyberbullying,"5. ""You have no loyalty, always jumping ship whenever it suits you."""
Cyberbullying,"6. ""You're just jealous because I'm better than you in every way."""
